 	Area	Mean	Min	Max
1	344064	818.107	590	4095
2	344064	817.901	583	4095
3	344064	821.454	577	4095
4	344064	820.130	582	4095
5	344064	821.286	591	4095
6	344064	719.267	532	4095
7	344064	718.677	531	4095
8	344064	719.159	527	4095
9	344064	718.169	527	4095
10	344064	716.690	527	4095
11	344064	474.791	374	4095
12	344064	474.687	375	4095
13	344064	474.765	377	4095
14	344064	474.994	372	4095
15	344064	474.981	377	4095
16	344064	387.473	320	3284
17	344064	385.909	320	3328
18	344064	386.140	317	3460
19	344064	385.483	320	3480
20	344064	385.283	320	3512
21	344064	351.993	296	2590
22	344064	350.626	292	2822
23	344064	350.218	293	2706
24	344064	349.950	292	2643
25	344064	349.934	290	2864
26	344064	349.608	289	2714
27	344064	349.012	288	2855
28	344064	348.700	293	2626
29	344064	348.555	291	2837
30	344064	664.291	486	4095
31	344064	722.962	522	4095
32	344064	751.085	544	4095
33	344064	763.174	546	4095
34	344064	772.666	555	4095
35	344064	780.654	554	4095
36	344064	784.621	560	4095
37	344064	788.703	563	4095
38	344064	792.765	565	4095
39	344064	795.283	568	4095
40	344064	797.860	566	4095
41	344064	800.383	574	4095
42	344064	804.497	570	4095
43	344064	803.344	569	4095
44	344064	804.339	568	4095
45	344064	807.258	574	4095
46	344064	806.683	577	4095
47	344064	808.885	578	4095
48	344064	807.648	577	4095
49	344064	810.138	575	4095
50	344064	811.288	579	4095
51	344064	811.292	579	4095
52	344064	812.575	576	4095
53	344064	812.988	576	4095
54	344064	812.963	578	4095
55	344064	813.830	581	4095
56	344064	815.335	579	4095
57	344064	815.180	581	4095
58	344064	815.308	582	4095
59	344064	815.996	585	4095
60	344064	817.847	583	4095
61	344064	816.168	585	4095
62	344064	817.573	575	4095
63	344064	816.859	576	4095
64	344064	818.073	583	4095
65	344064	819.126	581	4095
66	344064	817.704	576	4095
67	344064	819.974	585	4095
68	344064	818.993	585	4095
69	344064	823.004	584	4095
70	344064	821.309	582	4095
71	344064	822.083	590	4095
72	344064	820.464	582	4095
73	344064	822.678	590	4095
74	344064	820.669	586	4095
75	344064	822.538	581	4095
76	344064	821.042	586	4095
77	344064	821.488	586	4095
78	344064	821.921	581	4095
79	344064	821.845	583	4095
80	344064	823.372	583	4095
81	344064	823.036	589	4095
82	344064	826.059	584	4095
83	344064	821.538	583	4095
84	344064	822.860	581	4095
85	344064	823.611	581	4095
86	344064	824.032	590	4095
87	344064	824.453	589	4095
88	344064	824.125	591	4095
89	344064	823.841	589	4095
90	344064	822.894	585	4095
91	344064	822.917	593	4095
92	344064	823.084	592	4095
93	344064	824.466	590	4095
94	344064	824.948	593	4095
95	344064	823.631	582	4095
96	344064	824.917	585	4095
97	344064	825.838	584	4095
98	344064	825.225	594	4095
99	344064	820.339	524	4095
100	344064	820.235	527	4095
101	344064	822.614	526	4095
102	344064	822.696	524	4095
103	344064	823.548	521	4095
104	344064	694.140	473	4095
105	344064	695.069	477	4095
106	344064	693.708	474	4095
107	344064	693.148	469	4095
108	344064	692.024	466	4095
109	344064	461.227	343	4095
110	344064	461.061	343	4095
111	344064	461.152	349	4095
112	344064	461.289	345	4095
113	344064	461.142	344	4095
114	344064	378.667	299	3155
115	344064	378.096	301	3172
116	344064	377.617	301	3149
117	344064	377.235	298	3519
118	344064	376.897	300	3474
119	344064	344.264	290	2468
120	344064	343.385	284	2549
121	344064	343.182	288	2757
122	344064	342.903	288	2599
123	344064	344.321	289	2436
124	344064	342.554	285	2447
125	344064	342.076	284	2238
126	344064	341.731	283	2540
127	344064	341.869	285	2712
128	344064	642.993	490	4095
129	344064	695.896	519	4095
130	344064	722.135	535	4095
131	344064	731.691	537	4095
132	344064	741.114	547	4095
133	344064	748.499	545	4095
134	344064	752.289	555	4095
135	344064	756.139	553	4095
136	344064	760.229	554	4095
137	344064	762.153	557	4095
138	344064	765.172	561	4095
139	344064	766.790	539	4095
140	344064	769.888	554	4095
141	344064	769.803	548	4095
142	344064	770.887	559	4095
143	344064	772.613	562	4095
144	344064	772.830	561	4095
145	344064	774.139	561	4095
146	344064	780.759	567	4095
147	344064	776.284	558	4095
148	344064	777.353	558	4095
149	344064	777.293	565	4095
150	344064	778.029	559	4095
151	344064	778.956	564	4095
152	344064	778.991	562	4095
153	344064	779.527	559	4095
154	344064	781.104	560	4095
155	344064	783.610	564	4095
156	344064	780.792	561	4095
157	344064	781.626	564	4095
158	344064	784.763	554	4095
159	344064	781.574	556	4095
160	344064	783.013	563	4095
161	344064	782.905	561	4095
162	344064	783.561	560	4095
163	344064	784.433	562	4095
164	344064	783.376	560	4095
165	344064	785.459	566	4095
166	344064	784.669	567	4095
167	344064	789.878	565	4095
168	344064	785.978	562	4095
169	344064	787.086	565	4095
170	344064	785.679	562	4095
171	344064	787.541	555	4095
172	344064	786.564	549	4095
173	344064	787.179	561	4095
174	344064	786.246	558	4095
175	344064	786.801	554	4095
176	344064	788.071	560	4095
177	344064	787.357	558	4095
178	344064	788.326	564	4095
179	344064	788.208	559	4095
180	344064	790.289	551	4095
181	344064	787.207	560	4095
182	344064	788.302	557	4095
183	344064	790.648	556	4095
184	344064	789.461	555	4095
185	344064	789.743	563	4095
186	344064	789.413	558	4095
187	344064	788.617	551	4095
188	344064	788.741	563	4095
189	344064	788.363	559	4095
190	344064	788.720	561	4095
191	344064	789.361	566	4095
192	344064	789.815	556	4095
193	344064	789.199	559	4095
194	344064	790.032	560	4095
195	344064	791.471	566	4095
196	344064	790.482	558	4095
197	344064	806.338	594	4095
198	344064	804.224	595	4095
199	344064	805.607	595	4095
200	344064	805.896	588	4095
201	344064	806.768	596	4095
202	344064	692.070	509	4095
203	344064	692.106	513	4095
204	344064	691.204	503	4095
205	344064	693.004	518	4095
206	344064	689.877	511	4095
207	344064	460.060	358	4095
208	344064	459.976	361	4095
